"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-29","79","51",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-09-30","82","45",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-01","82","45","49"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-02","87","44",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-03","89","48",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-04","82","54",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-05","85","52",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-06","88","57",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-07","88","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-08","87","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-09","88","56",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-10","87","53",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-11","90","65",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-12","97","63",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-13","96","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-14","91","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-15","90","63",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-16","92","66",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-17","89","61",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-18","76","59",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-19","74","69",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-20","91","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-21","91","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-22","88","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-23","88","73",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-24","86","54",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-25","68","50",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-26","84","51",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-27","83","44",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-28","45","40",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-29","66","39",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-30","66","39","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-10-31","70","38",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-01","58","26","27"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-02","62","23",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-03","70","34",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-04","57","31",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-05","58","29",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-06","50","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-07","68","30",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-08","72","31",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-09","79","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-10","80","33",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-11","75","35",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-12","74","48",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-13","65","45",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-14","73","40",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-15","54","33",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-16","65","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-17","61","28",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-18","62","26",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-19","64","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-20","72","36",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-21","73","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-12-22","75","32",
